9.9334145, -84.1327704, 2022-02-10 01:47:59
9.9335096, -84.1326792, 2022-02-10 01:48:04
9.9336815, -84.1325587, 2022-02-10 01:48:09
9.9336998, -84.1325129, 2022-02-10 01:48:14
9.9338319, -84.1326523, 2022-02-10 01:49:20
9.9337614, -84.1327321, 2022-02-10 01:55:10
9.9339746, -84.1328401, 2022-02-10 01:59:02
9.9340116, -84.1329313, 2022-02-10 02:03:59
9.9340750, -84.1330279, 2022-02-10 02:04:02
9.9341278, -84.1332298, 2022-02-10 02:15:01 
9.9341806, -84.1341542, 2022-02-10 02:19:10
9.9342493, -84.1332907, 2022-02-10 02:19:20
9.9343180, -84.1333819, 2022-02-10 02:20:21
9.9343603, -84.1334731, 2022-02-10 02:21:01
9.9344237, -84.1335482, 2022-02-10 02:23:01
9.9344871, -84.1336394, 2022-02-10 02:23:50
9.9345505, -84.1337199, 2022-02-10 02:23:59
9.9346139, -84.1338164, 2022-02-10 02:25:05
9.9345347, -84.1338808, 2022-02-10 02:26:10
9.9342529, -84.1345453, 2022-02-10 02:30:11
9.9345452, -84.1339237, 2022-02-10 02:31:12
9.9342441, -84.1341597, 2022-02-10 02:31:59
9.9341489, -84.1342295, 2022-02-10 02:33:07
9.9340010, -84.1344602, 2022-02-10 02:33:20
9.9339957, -84.1345567, 2022-02-10 02:34:03
9.9341489, -84.1346801, 2022-02-10 02:35:09
9.9342863, -84.1347659, 2022-02-10 02:35:55
9.9344554, -84.1348678, 2022-02-10 02:36:00
9.9346456, -84.1349644, 2022-02-10 02:36:27
9.9347302, -84.1350395, 2022-02-10 02:36:59
9.9348464, -84.1351253, 2022-02-10 02:37:59
